label,gardiner_code,n_oracle,n_egypt,cosine_similarity,cosine_distance
人,ALL,5,2,0.8814371186349532,0.11856288136504678
人,A1,5,2,0.8814371186349532,0.11856288136504678
卜,ALL,4,2,0.8710694127491212,0.1289305872508788
卜,A2,4,1,0.8538654263140522,0.14613457368594784
卜,A7,4,1,0.8585208036967915,0.1414791963032085
占,ALL,4,43,0.9221889571977756,0.0778110428022244
占,D21,4,8,0.8941984166511643,0.10580158334883571
占,NA,4,2,0.8913544621117595,0.1086455378882405
占,Q3,4,7,0.9118403546094211,0.08815964539057886
占,R4,4,6,0.865905894476613,0.13409410552338696
占,R8,4,8,0.9221936374251232,0.07780636257487683
占,W22,4,4,0.907512830913346,0.092487169086654
占,X1,4,8,0.898612384178563,0.10138761582143696
史,ALL,5,7,0.9433580069852934,0.056641993014706626
史,Y3,5,6,0.9349730517115884,0.0650269482884116
史,Y3A1,5,1,0.8823669538729335,0.11763304612706649
巫,ALL,5,1,0.8165778592559426,0.18342214074405738
巫,A50,5,1,0.8165778592559426,0.18342214074405738
帝,ALL,5,5,0.8975264134012044,0.10247358659879557
帝,NA,5,2,0.8587860600570638,0.14121393994293618
帝,R8A40,5,2,0.8725489738686869,0.1274510261313131
帝,S36,5,1,0.8642552390039174,0.13574476099608257
日,ALL,4,9,0.9532154446591521,0.04678455534084791
日,N5,4,8,0.9477505290496161,0.0522494709503839
日,NA,4,1,0.9318888394049311,0.06811116059506894
星,ALL,6,12,0.9476847266569756,0.05231527334302444
星,N14,6,12,0.9476847266569756,0.05231527334302444
月,ALL,6,1,0.884921992689353,0.11507800731064699
月,N9,6,1,0.884921992689353,0.11507800731064699
示,ALL,1,6,0.8131846403980832,0.18681535960191675
示,R4,1,6,0.8131846403980832,0.18681535960191675
祀,ALL,6,4,0.882311794237918,0.11768820576208205
祀,N14+D46 V4 A30,6,4,0.882311794237918,0.11768820576208205
祖,ALL,4,12,0.9337972415078539,0.06620275849214607
祖,D28,4,12,0.9337972415078539,0.06620275849214607
祝,ALL,5,2,0.8816535452444411,0.11834645475555894
祝,D31,5,1,0.8813323728806948,0.11866762711930523
祝,T8,5,1,0.8380986132571329,0.16190138674286714
祭,ALL,6,2,0.8893827115700856,0.11061728842991436
祭,D44,6,1,0.8406473511337931,0.15935264886620693
祭,NA,6,1,0.8711652869625717,0.12883471303742833
鬼,ALL,6,30,0.9253599962469469,0.07464000375305313
鬼,D28,6,7,0.9239879105184248,0.07601208948157523
鬼,G1,6,8,0.89781838466776,0.10218161533224002
鬼,G25,6,8,0.9177666065715789,0.08223339342842106
鬼,G29,6,7,0.8907513836985936,0.10924861630140636
